System,Status,HD,Active,REG,Time
SanUmSrisuchinwong,SUCCESS,0.2630220824982264,5,0.1,135.23
ScrollDelay,EXPLODED,195.72730493260582,5,0.3,134.9
ShimizuMorioka,SUCCESS,0.019614800628727228,2,0.1,137.03
SprottA,SUCCESS,0.05990556242628897,2,0.1,218.46
SprottB,SUCCESS,0.044646838505787614,2,0.3,138.48
SprottC,SUCCESS,0.13646613259679868,2,0.1,137.48
SprottD,SUCCESS,1.04098304147981,2,0.3,136.17
SprottDelay,EXPLODED,102.211272126072,2,0.3,142.42
SprottE,SUCCESS,2.190063150519154,3,0.1,138.36
SprottF,SUCCESS,1.6392537402512535,3,0.1,144.53
SprottG,SUCCESS,0.03761889525338305,3,0.1,150.13
SprottH,POOR,6.155172618444143,3,0.1,132.37
SprottI,SUCCESS,0.059294471492579895,2,0.1,130.72
SprottJ,SUCCESS,0.014678608974083676,2,0.3,192.06
SprottJerk,SUCCESS,0.6597459601678979,2,0.3,152.45
SprottK,SUCCESS,4.577681092819588,1,0.1,132.71
SprottL,POOR,6.97682833050745,8,0.1,133.07
SprottM,SUCCESS,0.13340296994500586,3,0.1,133.44
SprottMore,SUCCESS,2.1315518423846584,13,0.1,197.59
SprottN,POOR,6.2459055240246775,1,0.1,126.37
SprottO,SUCCESS,0.6146160596598989,1,0.3,128.66
SprottP,SUCCESS,0.5435762302800071,2,0.1,128.94
SprottQ,SUCCESS,0.025351217820244343,8,0.1,129.95
SprottR,SUCCESS,0.039667896211737615,2,0.1,128.14
SprottS,SUCCESS,0.017332221000125186,2,0.1,127.85
SprottTorus,SUCCESS,0.33306640074317184,4,0.3,130.58
StickSlipOscillator,SUCCESS,0.14176152305144127,2,0.1,131.79
SwingingAtwood,POOR,6.685969103218332,21,0.1,163.86
Thomas,POOR,10.663885726271507,16,0.1,132.86
ThomasLabyrinth,POOR,17.26094778254913,21,0.1,136.66
Torus,POOR,20.349172054270365,20,0.1,127.19
Tsucs2,SUCCESS,0.02618968132110347,1,0.3,186.24
TurchinHanski,POOR,13.059769084404788,21,0.1,152.88
VallisElNino,SUCCESS,0.027636265145016756,12,0.1,133.86
VossDelay,SUCCESS,0.8855045252223988,1,0.3,181.38
WangSun,SUCCESS,0.058726155379436776,3,0.3,210.18
WindmiReduced,POOR,16.49984073844191,2,0.1,130.49
YuWang,POOR,30.036595334293928,21,0.1,151.22
YuWang2,SUCCESS,0.13191057743608658,3,0.3,178.25
ZhouChen,SUCCESS,4.978313247057389,2,0.3,141.55
